Vin,Vout,Frec,DeltaPhase
10.3,10.3,0.1,4.8
10.3,10.3,0.2,
10.3,10.1,0.3,
10.3,10.1,0.4,
10.1,10,0.5,0.84
10.1,10,0.6,
10.1,10,0.7,
10.1,9.8,0.8,
10.1,9.8,0.9,
10.1,9.6,1,0.32
10.1,9.6,1.1,
10.1,9.4,1.2,0.21
10.1,9.2,1.3,
10.1,8.8,1.4,0.116
10.1,8.4,1.5,0.084
10.1,7.8,1.6,0.06
10.1,7.4,1.7,0.04
10.1,6.8,1.8,0.012
10.1,6.2,1.9,-0.001
10.1,4.8,2,-0.005
10.1,2.72,2.4,-0.026
10.1,1.67,2.8,-0.037
10.1,1.36,3,-0.04
10.1,0.86,3.5,
10.1,0.82,3.6,
10.1,0.65,3.7,
10.1,0.6,3.8,
10.1,0.55,3.9,
10.1,0.51,4,-0.04
10.1,0.48,4.1,
10.1,0.45,4.2,
10.1,0.416,4.3,
10.1,0.38,4.4,
10.1,0.36,4.5,-0.04
10.1,0.2,5.5,-0.033
10.1,0.14,6.5,
10.1,0.08,8.5,
10.1,0.05,9.5,
