IIR- Ellip,,,FIR,,
VinPP,Frec,VoPP,VinPP,Frec,VoPP
3.07,15,0.1,3.07,20.4,0.4
3.07,17,0.12,3.07,20.78,1.74
3.07,19,0.15,3.07,20.9,2.18
3.07,20.2,0.28,3.07,21,2.74
3.07,21.15,0.64,3.07,21.1,2.9
3.07,22.5,1.5,3.07,21.2,3.09
3.07,23.6,1.91,3.07,21.41,3.14
3.07,28.1,2.4,3.07,30.5,3.11
3.07,29.2,2.44,3.07,34.1,2.77
3.07,30.2,2.48,3.07,34.38,2.83
3.07,38.4,2.05,3.07,35,3
3.07,39.3,1.67,3.07,35.2,2.4
3.07,40.3,0.7,3.07,35.4,1.5
3.07,40.7,0.32,3.07,35.5,1.32
3.07,50,0.08,3.07,35.76,0.5
3.07,60,0.02,3.07,35.8,0.36
3.07,70,0.01,3.07,35.9,0.26
